what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1324070973799
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1324070973799
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1324070973799
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1324070973815
os,sysinfo,,,"win32",1324070973815
arch,sysinfo,,,"x86_64",1324070973815
ws,sysinfo,,,"win32",1324070973815
locale,sysinfo,,,"en_US",1324070973815
processors,sysinfo,,,"4",1324070973815
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324070973815
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1324070973815
java.specification.name,sysinfo,,,"Java Platform API Specification",1324070973815
java.specification.vendor,sysinfo,,,"Oracle Corporation",1324070973815
java.specification.version,sysinfo,,,"1.7",1324070973815
java.vendor,sysinfo,,,"Oracle Corporation",1324070973815
java.version,sysinfo,,,"1.7.0_01",1324070973815
java.vm.info,sysinfo,,,"mixed mode",1324070973815
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1324070973815
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324070973815
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1324070973815
java.vm.specification.version,sysinfo,,,"1.7",1324070973815
java.vm.vendor,sysinfo,,,"Oracle Corporation",1324070973815
java.vm.version,sysinfo,,,"21.1-b02",1324070973815
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1324070973815
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1324070973815
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1324070973831
started,bundle,com.google.gdt.eclipse.platform.shared,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.platform.shared",1324070973846
started,bundle,com.google.gdt.eclipse.platform.e37,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.platform.e37",1324070973846
started,bundle,com.google.gwt.eclipse.core,2.4.2.relr37v201110112027,"com.google.gwt.eclipse.core",1324070974158
started,bundle,com.google.gdt.eclipse.maven,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.maven",1324070974158
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070974267
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1324070974283
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1324070974330
started,bundle,com.google.gdt.eclipse.suite,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.suite",1324070974345
started,bundle,com.google.gdt.eclipse.managedapis,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.managedapis",1324070974361
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1324070974439
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1324070974455
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1324070974548
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1324070974564
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1324070974642
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1324070974642
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1324070974938
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1324070974985
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.4.2.relr37v201110112027,"com.google.gdt.eclipse.appengine.rpc",1324070975110
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1324070975110
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1324070975141
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1324070975141
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1324070975157
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1324070975172
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1324070975422
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1324070975593
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1324070975625
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1324070975703
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070975796
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070975921
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070976030
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070976124
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070976249
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1324070976342
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1324070976498
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1324070976701
