2011-12-15 14:34:43,593 [New I/O client worker #5-3] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-client/1.11/jersey-client-1.11.jar
2011-12-15 14:34:43,796 [New I/O client worker #5-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-core/1.11/jersey-core-1.11.jar
2011-12-15 14:34:43,848 [New I/O client worker #5-3] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-client/1.11/jersey-client-1.11.jar
2011-12-15 14:34:44,473 [New I/O client worker #5-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-core/1.11/jersey-core-1.11.jar
2011-12-15 14:34:45,120 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2011-12-15 14:34:45,124 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2011-12-15 14:34:45,126 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2011-12-15 14:34:45,128 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2011-12-15 14:34:45,143 [Worker-99] INFO  o.e.m.c.u.i.UpdateConfigurationJob - Update started
2011-12-15 14:34:45,176 [Worker-99] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ch.bbv:julklapp-clt:1.0.0 @ C:\data\bbv\Projects\julklapp\julklapp-clt\pom.xml.
2011-12-15 14:34:45,263 [Worker-99] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /julklapp-clt/src/main/java
2011-12-15 14:34:45,264 [Worker-99] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /julklapp-clt/src/main/resources
2011-12-15 14:34:45,264 [Worker-99] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /julklapp-clt/src/test/java
2011-12-15 14:34:45,264 [Worker-99] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /julklapp-clt/src/test/resources
2011-12-15 14:34:45,319 [Worker-99] INFO  o.e.m.c.u.i.UpdateConfigurationJob - Update completed: 0 sec
2011-12-15 14:34:45,496 [Worker-96] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2011-12-15 14:34:45,500 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2011-12-15 14:34:45,504 [Worker-96] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2011-12-15 14:34:45,507 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2011-12-15 14:35:24,386 [Worker-99] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ch.bbv:julklapp-clt:1.0.0 @ C:\data\bbv\Projects\julklapp\julklapp-clt\pom.xml.
2011-12-15 14:35:45,507 [New I/O client worker #6-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-json/1.11/jersey-json-1.11.pom
2011-12-15 14:35:45,592 [New I/O client worker #6-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-json/1.11/jersey-json-1.11.pom
2011-12-15 14:35:47,481 [New I/O client worker #7-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jettison/jettison/1.1/jettison-1.1.pom
2011-12-15 14:35:47,482 [New I/O client worker #7-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jettison/jettison/1.1/jettison-1.1.pom
2011-12-15 14:35:48,814 [New I/O client worker #8-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.pom
2011-12-15 14:35:48,816 [New I/O client worker #8-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.pom
2011-12-15 14:35:50,323 [New I/O client worker #9-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-core-asl/1.9.2/jackson-core-asl-1.9.2.pom
2011-12-15 14:35:50,324 [New I/O client worker #9-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-core-asl/1.9.2/jackson-core-asl-1.9.2.pom
2011-12-15 14:35:51,874 [New I/O client worker #10-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.pom
2011-12-15 14:35:51,875 [New I/O client worker #10-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.pom
2011-12-15 14:35:53,664 [New I/O client worker #11-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-jaxrs/1.9.2/jackson-jaxrs-1.9.2.pom
2011-12-15 14:35:53,666 [New I/O client worker #11-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-jaxrs/1.9.2/jackson-jaxrs-1.9.2.pom
2011-12-15 14:35:55,320 [New I/O client worker #12-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-xc/1.9.2/jackson-xc-1.9.2.pom
2011-12-15 14:35:55,321 [New I/O client worker #12-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-xc/1.9.2/jackson-xc-1.9.2.pom
2011-12-15 14:35:56,736 [New I/O client worker #13-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.jar
2011-12-15 14:35:57,709 [New I/O client worker #13-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jettison/jettison/1.1/jettison-1.1.jar
2011-12-15 14:35:57,913 [New I/O client worker #13-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jettison/jettison/1.1/jettison-1.1.jar
2011-12-15 14:35:57,951 [New I/O client worker #13-6] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-json/1.11/jersey-json-1.11.jar
2011-12-15 14:35:58,055 [New I/O client worker #13-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/xml/bind/jaxb-impl/2.2.3-1/jaxb-impl-2.2.3-1.jar
2011-12-15 14:35:58,191 [New I/O client worker #13-3] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-core-asl/1.9.2/jackson-core-asl-1.9.2.jar
2011-12-15 14:35:58,248 [New I/O client worker #13-6] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/com/sun/jersey/jersey-json/1.11/jersey-json-1.11.jar
2011-12-15 14:35:58,567 [New I/O client worker #13-3] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-core-asl/1.9.2/jackson-core-asl-1.9.2.jar
2011-12-15 14:35:58,955 [New I/O client worker #13-5] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-jaxrs/1.9.2/jackson-jaxrs-1.9.2.jar
2011-12-15 14:35:59,063 [New I/O client worker #13-5] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-jaxrs/1.9.2/jackson-jaxrs-1.9.2.jar
2011-12-15 14:35:59,200 [New I/O client worker #13-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://javabuild.bbv.ch/nexus/content/groups/public/org/codehaus/jackson/jackson-mapper-asl/1.9.2/jackson-mapper-asl-1.9.2.jar
